Ransomware Family,TacticID,TechniqueID,Sub-TechID,Action,Num. CAR,Num. Sigma,Num. ES SIEM,Num. Splunk,Total
MidasRansomware,Persistence,T1543,T1543.003,Change service config,6,40,10,14,70
HaronRansomware,Privilege Escalation,T1543,T1543.003,Change service config,6,40,10,14,70
CrytoxRansomware,Defense Evasion,T1055,T1055.003,Changes memory attributes in foreign processes to executable or writable,0,2,0,0,2
CrytoxRansomware,Privilege Escalation,T1055,T1055.003,Changes memory attributes in foreign processes to executable or writable,0,2,0,0,2
Cl0pRansomware,Discovery,T1622,T1622,Check debug,0,0,0,0,0
HaronRansomware,Discovery,T1083,No sub-techniques,Check if directory exists,0,12,2,1,15
MidasRansomware,Discovery,T1083,No sub-techniques,Check if directory exists,0,12,2,1,15
BlackCatRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
DearCryRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
HaronRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
MauiRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
MementoRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
MidasRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
MoishaRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
OnyxRansomware,Discovery,T1083,No sub-techniques,Check if file exists,0,12,2,1,15
MauiRansomware,Discovery,T1082,No sub-techniques,Check OS version,2,14,7,5,28
RookRansomware,Discovery,T1091,T1091,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
Cl0pRansomware,Discovery,T1119,T1119,Checks for available system drives (often done to infect USB drives),0,5,0,0,5
AgendaRansomware,Discovery,T1120,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,2,1,0,3
HiveRansomware,Discovery,T1120,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,2,1,0,3
LilithRansomware,Discovery,T1120,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,2,1,0,3
LockBitRansomware,Discovery,T1120,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,2,1,0,3
PLAYRansomware,Discovery,T1120,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,2,1,0,3
PandoraRansomware,Discovery,T1120,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,2,1,0,3
RookRansomware,Discovery,T1120,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,2,1,0,3
AgendaRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
Cl0pRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
HiveRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
LilithRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
LockBitRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
PLAYRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
PandoraRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
RookRansomware,Initial Access,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
AgendaRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
Cl0pRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
HiveRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
LilithRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
LockBitRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
PLAYRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
PandoraRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
RookRansomware,Lateral Movement,T1091,No sub-techniques,Checks for available system drives (often done to infect USB drives),0,1,0,0,1
SamsamRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks for debuggers (devices),0,0,1,1,2
SamsamRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks for debuggers (devices),0,0,1,1,2
SamsamRansomware,Discovery,T1518,T1518.001,Checks for debuggers (devices),1,4,2,0,7
BandarChorRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks for debuggers (window names),0,0,1,1,2
SamsamRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks for debuggers (window names),0,0,1,1,2
BandarChorRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks for debuggers (window names),0,0,1,1,2
SamsamRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks for debuggers (window names),0,0,1,1,2
BandarChorRansomware,Discovery,T1518,T1518.001,Checks for debuggers (window names),1,4,2,0,7
SamsamRansomware,Discovery,T1518,T1518.001,Checks for debuggers (window names),1,4,2,0,7
CrytoxRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks for kernel code integrity (NtQuerySystemInformation(CodeIntegrityInformation)),0,0,1,1,2
CrytoxRansomware,Discovery,T1518,T1518.001,Checks for kernel code integrity (NtQuerySystemInformation(CodeIntegrityInformation)),1,4,2,0,7
HiveRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),0,0,1,1,2
LilithRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),0,0,1,1,2
OnyxRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),0,0,1,1,2
CrytoxRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),0,0,1,1,2
HiveRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),0,0,1,1,2
OnyxRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),0,0,1,1,2
CrytoxRansomware,Discovery,T1518,T1518.001,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),1,4,2,0,7
HiveRansomware,Discovery,T1518,T1518.001,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),1,4,2,0,7
LilithRansomware,Discovery,T1518,T1518.001,Checks for kernel debuggers (NtQuerySystemInformation(SystemKernelDebuggerInformation)),1,4,2,0,7
OnyxRansomware,Discovery,T1518,T1518.001,Checks for kernel debuggers(NtQuerySystemInformation(SystemKernelDebuggerInformation)),1,4,2,0,7
DiavolRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
EvilNominatusRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
KoxicRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
LokiLockerRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
RookRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
SamsamRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
DiavolRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
EvilNominatusRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
KoxicRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
LokiLockerRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
RookRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
SamsamRansomware,Discovery,T1497,No Suitable Sub-techniques,Checks if the current process is being debugged,0,0,1,1,2
DiavolRansomware,Discovery,T1518,T1518.001,Checks if the current process is being debugged,1,4,2,0,7
EvilNominatusRansomware,Discovery,T1518,T1518.001,Checks if the current process is being debugged,1,4,2,0,7
KoxicRansomware,Discovery,T1518,T1518.001,Checks if the current process is being debugged,1,4,2,0,7
LokiLockerRansomware,Discovery,T1518,T1518.001,Checks if the current process is being debugged,1,4,2,0,7
RookRansomware,Discovery,T1518,T1518.001,Checks if the current process is being debugged,1,4,2,0,7
SamsamRansomware,Discovery,T1518,T1518.001,Checks if the current process is being debugged,1,4,2,0,7
LockBitRansomware,Discovery,T1082,No sub-techniques,Checks the free space of harddrives,2,14,7,5,28
LokiLockerRansomware,Discovery,T1082,No sub-techniques,Checks the free space of harddrives,2,14,7,5,28
PLAYRansomware,Discovery,T1082,No sub-techniques,Checks the free space of harddrives,2,14,7,5,28
RookRansomware,Discovery,T1082,No sub-techniques,Checks the free space of harddrives,2,14,7,5,28
HaronRansomware,Discovery,T1016,No Suitable Sub-techniques,Checks the online ip address of the machine,2,8,3,4,17
SugarRansomware,Discovery,T1016,No Suitable Sub-techniques,Checks the online ip address of the machine,2,8,3,4,17
BlackCatRansomware,Defense Evasion,T1070,T1070.001,Clear Windows event logs,2,8,3,6,19
BlackBastaRansomware,Defense Evasion,T1564,T1564.003,Cmd hidden exec,0,2,0,0,2
HaronRansomware,Discovery,T1016,No Suitable Sub-techniques,Collect network adapter information,2,8,3,4,17
CrytoxRansomware,Discovery,T1082,No sub-techniques,Collect system fingerprint info,2,14,7,5,28
BandarChorRansomware,Discovery,T1082,No sub-techniques,Collect system hardware fingerprint info,2,14,7,5,28
MagniberRansomware,Discovery,T1082,No sub-techniques,Collect system hardware fingerprint info,2,14,7,5,28
MoishaRansomware,Discovery,T1082,No sub-techniques,Collect system hardware fingerprint info,2,14,7,5,28
SugarRansomware,Discovery,T1082,No sub-techniques,Collect system hardware fingerprint info,2,14,7,5,28
LokiLockerRansomware,Collection,T1560,T1560.002,Compress data using GZip in .NET,0,0,0,0,0
WhiteRabbitRansomware,Collection,T1560,T1560.002,Compress data using GZip in .NET,0,0,0,0,0
AzovRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
BlackCatRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
BlueSkyRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
DiavolRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
HiveRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
LilithRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
NightSkyRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
NokoyawaRansomware,Defense Evasion,T1027,T1027.005,Contain obfuscated stackstrings,0,4,0,2,6
BandarChorRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
ChaosRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
DearCryRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
LokiLockerRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
RookRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
SamsamRansomware,Defense Evasion,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
RookRansomware,Discovery,T1497,No sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
BandarChorRansomware,Discovery,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
ChaosRansomware,Discovery,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
DearCryRansomware,Discovery,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
LokiLockerRansomware,Discovery,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
SamsamRansomware,Discovery,T1497,No Suitable Sub-techniques,Contains capabilities to detect virtual machines,0,0,1,1,2
BandarChorRansomware,Discovery,T1518,T1518.001,Contains capabilities to detect virtual machines,1,4,2,0,7
ChaosRansomware,Discovery,T1518,T1518.001,Contains capabilities to detect virtual machines,1,4,2,0,7
LokiLockerRansomware,Discovery,T1518,T1518.001,Contains capabilities to detect virtual machines,1,4,2,0,7
RookRansomware,Discovery,T1518,T1518.001,Contains capabilities to detect virtual machines,1,4,2,0,7
SamsamRansomware,Discovery,T1518,T1518.001,Contains capabilities to detect virtual machines,1,4,2,0,7
AESRTRansomware,Defense Evasion,T1562,T1562.001,Contains functionality to disable the Task Manager (.Net Source),3,74,39,45,161
ClownicRansomware,Defense Evasion,T1562,T1562.001,Contains functionality to disable the Task Manager (.Net Source),3,74,39,45,161
MidasRansomware,Impact,T1486,No sub-techniques,Contains functionality to drop file containing file decryption instructions (likely related to ransomware),0,10,1,7,18
CrytoxRansomware,Defense Evasion,T1036,T1036.005,Create files to system directory rare,1,9,1,1,12
HaronRansomware,Defense Evasion,T1564,T1564.003,Create hidden child process,0,2,0,0,2
MidasRansomware,Defense Evasion,T1564,T1564.003,Create hidden child process,0,2,0,0,2
PandoraRansomware,Defense Evasion,T1564,T1564.003,Create hidden child process,0,2,0,0,2
MidasRansomware,Execution,T1106,No sub-techniques,Create many processes,0,12,6,0,18
HaronRansomware,Impact,T1499,T1499.001,Create many processes,0,1,0,0,1
MidasRansomware,Impact,T1499,T1499.001,Create many processes,0,1,0,0,1
HaronRansomware,Execution,T1106,No sub-techniques,Create many processes .NET source code references suspicious native API functions,0,12,6,0,18
AzovRansomware,Persistence,T1546,T1546.003,Create mof file,1,12,1,3,17
AzovRansomware,Privilege Escalation,T1546,T1546.003,Create mof file,1,12,1,3,17
CuratorRansomware,Defense Evasion,T1027,No Suitable Sub-techniques,Create new key via CryptAcquireContext,0,83,7,8,98
DearCryRansomware,Defense Evasion,T1027,No Suitable Sub-techniques,Create new key via CryptAcquireContext,0,83,7,8,98
LorenzRansomware,Defense Evasion,T1027,No Suitable Sub-techniques,Create new key via CryptAcquireContext,0,83,7,8,98
SunnyDayRansomware,Defense Evasion,T1027,No Suitable Sub-techniques,Create new key via CryptAcquireContext,0,83,7,8,98
Yanluowang Ransomware,Defense Evasion,T1027,T1027,Create new key via CryptAcquireContext,0,83,7,8,98
BlackBastaRansomware,Execution,T1106,No sub-techniques,Create new process,0,12,6,0,18
AzovRansomware,Impact,T1486,No sub-techniques,Create ransom note,0,10,1,7,18
PandoraRansomware,Impact,T1486,No sub-techniques,Create ransom note,0,10,1,7,18
AzovRansomware,Execution,T1204,T1204.002,Create sensitive name file,1,26,3,4,34
LockyRansomware,Execution,T1569,T1569.002,Create service,4,40,3,5,52
LockyRansomware,Persistence,T1543,T1543.003,Create service,6,40,10,14,70
LockyRansomware,Privilege Escalation,T1543,T1543.003,Create service,6,40,10,14,70
OnyxRansomware,Defense Evasion,T1036,T1036.005,Create system name exe,1,9,1,1,12
MauiRansomware,Collection,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
BlackCatRansomware,Collection,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
DearCryRansomware,Collection,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
HaronRansomware,Collection,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
PLAYRansomware,Collection,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
SamsamRansomware,Collection,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
BlackCatRansomware,Credential Access,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
DearCryRansomware,Credential Access,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
HaronRansomware,Credential Access,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
PLAYRansomware,Credential Access,T1056,No Suitable Sub-techniques,Creates a DirectInput object (often for capturing keystrokes),0,0,2,1,3
SamsamRansomware,Credential Access,T1056,T1056.004,Creates a DirectInput object (often for capturing keystrokes),0,0,0,0,0
BlackBastaRansomware,Defense Evasion,T1036,T1036.005,Creates a directory in C:\Program Files,1,9,1,1,12
AESRTRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
AgendaRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
BlackBastaRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
ChaosRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
CrytoxRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
DiavolRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
HaronRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
HiveRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
LilithRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
LockBitRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
LokiLockerRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
LorenzRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
MementoRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
MidasRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
OnyxRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
PandoraRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
RookRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
SynAckRansomware,Defense Evasion,T1055,T1055.003,Creates a process in suspended mode (likely to inject code),0,2,0,0,2
AESRTRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
AgendaRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
BlackBastaRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
ChaosRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
CrytoxRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
DiavolRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
HaronRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
HiveRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
KoxicRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
LilithRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
